Category,Subcategory,Item,Measurement,Amount,Notes,Source
Model APIs,Blended cost,OpenAI GPT-4o-mini,Per 1M tokens USD,0.75,Comparison matrix normalized view,duck-rs/tool-calling-comparison-matrix.md:11-21
Model APIs,Blended cost,Anthropic Claude-3.5,Per 1M tokens USD,18.00,Comparison matrix normalized view,duck-rs/tool-calling-comparison-matrix.md:11-21
Model APIs,Blended cost,Azure OpenAI,Per 1M tokens USD,20.00,Includes Azure premium vs direct OpenAI,duck-rs/tool-calling-comparison-matrix.md:11-21
Model APIs,Blended cost,Google Gemini Pro,Per 1M tokens USD,2.00,Normalized in comparison matrix,duck-rs/tool-calling-comparison-matrix.md:11-21
Model APIs,Blended cost,AWS Bedrock Claude,Per 1M tokens USD,3.60,Normalized in comparison matrix,duck-rs/tool-calling-comparison-matrix.md:11-21
Model APIs,Blended cost,Cohere Command,Per 1M tokens USD,2.00,Normalized in comparison matrix,duck-rs/tool-calling-comparison-matrix.md:11-21
Model APIs,Blended cost,Mistral Large,Per 1M tokens USD,16.00,Normalized in comparison matrix,duck-rs/tool-calling-comparison-matrix.md:11-21
Execution,Per 1000 tool calls,Local (Ollama),Per 1000 tool calls USD,0.00,Hardware amortized,duck-rs/CODEX_TOOL_CALLING_INTEGRATION_GUIDE.md:487-491
Execution,Per 1000 tool calls,OpenAI GPT-4o-mini,Per 1000 tool calls USD,18.75,Cloud inference costs from benchmarks,duck-rs/CODEX_TOOL_CALLING_INTEGRATION_GUIDE.md:487-491
Execution,Per 1000 tool calls,Claude-3.5 Sonnet,Per 1000 tool calls USD,45.00,Cloud inference costs from benchmarks,duck-rs/CODEX_TOOL_CALLING_INTEGRATION_GUIDE.md:487-491
Execution,Per 1000 tool calls,Azure OpenAI,Per 1000 tool calls USD,18.75,Azure-hosted GPT-4o-mini via benchmarks,duck-rs/CODEX_TOOL_CALLING_INTEGRATION_GUIDE.md:487-491
TCO (Small Scale),OpenAI API Direct,Setup,Setup USD,0,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),OpenAI API Direct,Monthly,Monthly USD,750,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),OpenAI API Direct,Maintenance,Maintenance USD,0,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),OpenAI API Direct,12-month total,Annual USD,9000,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),LangChain + OpenAI,Setup,Setup USD,5000,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),LangChain + OpenAI,Monthly,Monthly USD,800,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),LangChain + OpenAI,Maintenance,Maintenance USD,2000,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),LangChain + OpenAI,12-month total,Annual USD,19600,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),Azure OpenAI,Setup,Setup USD,2000,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),Azure OpenAI,Monthly,Monthly USD,750,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),Azure OpenAI,Maintenance,Maintenance USD,1000,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),Azure OpenAI,12-month total,Annual USD,21000,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),Local Ollama,Setup,Setup USD,8000,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),Local Ollama,Monthly,Monthly USD,200,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),Local Ollama,Maintenance,Maintenance USD,3000,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),Local Ollama,12-month total,Annual USD,44400,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),Anthropic Claude,Setup,Setup USD,0,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),Anthropic Claude,Monthly,Monthly USD,900,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),Anthropic Claude,Maintenance,Maintenance USD,0,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Small Scale),Anthropic Claude,12-month total,Annual USD,10800,<1M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:65-72
TCO (Enterprise),Azure OpenAI Enterprise,Setup,Setup USD,50000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Azure OpenAI Enterprise,Monthly,Monthly USD,150000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Azure OpenAI Enterprise,Maintenance,Maintenance USD,20000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Azure OpenAI Enterprise,12-month total,Annual USD,1890000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),AWS Bedrock,Setup,Setup USD,75000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),AWS Bedrock,Monthly,Monthly USD,120000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),AWS Bedrock,Maintenance,Maintenance USD,25000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),AWS Bedrock,12-month total,Annual USD,1515000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Local Deployment,Setup,Setup USD,200000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Local Deployment,Monthly,Monthly USD,15000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Local Deployment,Maintenance,Maintenance USD,50000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Local Deployment,12-month total,Annual USD,980000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Hybrid Local + Cloud,Setup,Setup USD,150000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Hybrid Local + Cloud,Monthly,Monthly USD,50000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Hybrid Local + Cloud,Maintenance,Maintenance USD,40000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Hybrid Local + Cloud,12-month total,Annual USD,1230000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Multi-Provider,Setup,Setup USD,100000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Multi-Provider,Monthly,Monthly USD,80000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Multi-Provider,Maintenance,Maintenance USD,30000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
TCO (Enterprise),Multi-Provider,12-month total,Annual USD,1320000,>100M tokens/month scenario,duck-rs/tool-calling-comparison-matrix.md:75-82
Scaling Benchmarks,Startup,Monthly infrastructure + API spend,Monthly USD,100-1000,"<100 users, <10K requests/day",duck-rs/tool-calling-comparison-matrix.md:193-198
Scaling Benchmarks,SMB,Monthly infrastructure + API spend,Monthly USD,1000-10000,"<1K users, <100K requests/day",duck-rs/tool-calling-comparison-matrix.md:193-198
Scaling Benchmarks,Enterprise,Monthly infrastructure + API spend,Monthly USD,10000-100000,"<10K users, <1M requests/day",duck-rs/tool-calling-comparison-matrix.md:193-198
Scaling Benchmarks,Hyperscale,Monthly infrastructure + API spend,Monthly USD,100000+,">10K users, >1M requests/day",duck-rs/tool-calling-comparison-matrix.md:193-198
Budget Bands,Entry tier,Preferred solutions,Monthly USD,<1000,"OpenAI API direct, Ollama local",duck-rs/tool-calling-comparison-matrix.md:274-277
Budget Bands,Growth tier,Preferred solutions,Monthly USD,1000-10000,"Azure OpenAI, LangChain + cloud APIs",duck-rs/tool-calling-comparison-matrix.md:274-277
Budget Bands,Scale tier,Preferred solutions,Monthly USD,10000-100000,"Multi-provider setup, custom framework",duck-rs/tool-calling-comparison-matrix.md:274-277
Budget Bands,Enterprise tier,Preferred solutions,Monthly USD,>100000,"Enterprise platforms, hybrid deployments",duck-rs/tool-calling-comparison-matrix.md:274-277
Industry Benchmarks,Financial Services,Average AI tool spend,Annual USD,50000-500000,Risk analysis + compliance automation,duck-rs/commercial-platforms-analysis.md:283-288
Industry Benchmarks,Healthcare,Average AI tool spend,Annual USD,25000-200000,"Clinical decision support, documentation",duck-rs/commercial-platforms-analysis.md:289-294
Industry Benchmarks,Technology,Average AI tool spend,Annual USD,100000-1000000,Code generation + developer productivity,duck-rs/commercial-platforms-analysis.md:295-299
Industry Benchmarks,Manufacturing,Average AI tool spend,Annual USD,75000-300000,Process optimization + quality control,duck-rs/commercial-platforms-analysis.md:301-304
Planning Benchmarks,Small business,Recommended AI engine budget,Annual USD,10000-50000,Budget range referenced for SMB adoption,duck-rs/commercial-platforms-analysis.md:325-329
Planning Benchmarks,Mid-market,Recommended AI engine budget,Annual USD,50000-250000,Supports multi-provider abstraction layer,duck-rs/commercial-platforms-analysis.md:331-335
Planning Benchmarks,Enterprise,Recommended AI engine budget,Annual USD,>250000,Multi-provider (Azure OpenAI + AWS Bedrock),duck-rs/commercial-platforms-analysis.md:337-340
